pipeline_name,test_case_id,question,answer_correctness,faithfulness,context_precision,context_recall,answer_relevance,overall_score,execution_time_ms,success
current_graphrag,test_001,What are the primary mechanisms of insulin resistance in type 2 diabetes?,0.0,0.0,0.0,0.0,0.0,0.0,247.9164170799777,False
current_graphrag,test_002,How does metformin work to control blood glucose levels?,0.0,0.0,0.0,0.0,0.0,0.0,248.26458399184048,False
current_graphrag,test_003,What cardiovascular complications are associated with diabetes and how are they managed?,0.0,0.0,0.0,0.0,0.0,0.0,319.2466669715941,False
current_graphrag,test_004,How does COVID-19 affect patients with diabetes?,0.0,0.0,0.0,0.0,0.0,0.0,504.73458296619356,False
current_graphrag,test_005,What are the benefits and side effects of SGLT-2 inhibitors?,0.0,0.0,0.0,0.0,0.0,0.0,444.7510000318289,False
current_graphrag,test_006,What causes beta-cell dysfunction in type 2 diabetes?,0.0,0.0,0.0,0.0,0.0,0.0,267.59233290795237,False
current_graphrag,test_007,What are the contraindications for metformin use?,0.0,0.0,0.0,0.0,0.0,0.0,297.6863329531625,False
current_graphrag,test_008,What specific management changes are needed for diabetic patients with COVID-19?,0.0,0.0,0.0,0.0,0.0,0.0,212.01679203659296,False
merged_graphrag,test_001,What are the primary mechanisms of insulin resistance in type 2 diabetes?,0.0,0.0,0.0,0.0,0.0,0.0,351.17699997499585,False
merged_graphrag,test_002,How does metformin work to control blood glucose levels?,0.0,0.0,0.0,0.0,0.0,0.0,214.40216701012105,False
merged_graphrag,test_003,What cardiovascular complications are associated with diabetes and how are they managed?,0.0,0.0,0.0,0.0,0.0,0.0,232.13829193264246,False
merged_graphrag,test_004,How does COVID-19 affect patients with diabetes?,0.0,0.0,0.0,0.0,0.0,0.0,208.7320419959724,False
merged_graphrag,test_005,What are the benefits and side effects of SGLT-2 inhibitors?,0.0,0.0,0.0,0.0,0.0,0.0,208.2352499710396,False
merged_graphrag,test_006,What causes beta-cell dysfunction in type 2 diabetes?,0.0,0.0,0.0,0.0,0.0,0.0,169.42662501242012,False
merged_graphrag,test_007,What are the contraindications for metformin use?,0.0,0.0,0.0,0.0,0.0,0.0,322.3306250292808,False
merged_graphrag,test_008,What specific management changes are needed for diabetic patients with COVID-19?,0.0,0.0,0.0,0.0,0.0,0.0,184.4218330224976,False
basic_rag,test_001,What are the primary mechanisms of insulin resistance in type 2 diabetes?,0.0,0.0,0.0,0.0,0.0,0.0,448.13533301930875,False
basic_rag,test_002,How does metformin work to control blood glucose levels?,0.0,0.0,0.0,0.0,0.0,0.0,416.8261659797281,False
basic_rag,test_003,What cardiovascular complications are associated with diabetes and how are they managed?,0.0,0.0,0.0,0.0,0.0,0.0,481.6922920290381,False
basic_rag,test_004,How does COVID-19 affect patients with diabetes?,0.0,0.0,0.0,0.0,0.0,0.0,314.6896669641137,False
basic_rag,test_005,What are the benefits and side effects of SGLT-2 inhibitors?,0.0,0.0,0.0,0.0,0.0,0.0,297.8012920357287,False
basic_rag,test_006,What causes beta-cell dysfunction in type 2 diabetes?,0.0,0.0,0.0,0.0,0.0,0.0,420.0901249423623,False
basic_rag,test_007,What are the contraindications for metformin use?,0.0,0.0,0.0,0.0,0.0,0.0,438.96133301313967,False
basic_rag,test_008,What specific management changes are needed for diabetic patients with COVID-19?,0.0,0.0,0.0,0.0,0.0,0.0,484.0708749834448,False
