pipeline_name,query,answer,contexts,ground_truth,response_time,documents_retrieved,success,error,answer_relevancy,context_precision,context_recall,faithfulness,answer_similarity,answer_correctness,avg_similarity_score,answer_length,iteration
basic,What are the effects of metformin on type 2 diabetes?,No relevant documents found to answer the query.,[],Metformin helps treat type 2 diabetes by reducing glucose production in the liver and increasing insulin sensitivity in peripheral tissues.,0.08762216567993164,0,True,,,,,,,,0.0,48,0
basic,How does SGLT2 inhibition affect kidney function?,No relevant documents found to answer the query.,[],"SGLT2 inhibitors protect kidney function by reducing hyperfiltration, decreasing albuminuria, and providing nephroprotection through mechanisms independent of glycemic control.",0.0489499568939209,0,True,,,,,,,,0.0,48,0
basic,What is the mechanism of action of GLP-1 receptor agonists?,No relevant documents found to answer the query.,[],"GLP-1 receptor agonists work by stimulating insulin secretion, suppressing glucagon secretion, slowing gastric emptying, and promoting satiety, ultimately improving glycemic control and often leading to weight loss.",0.0466158390045166,0,True,,,,,,,,0.0,48,0
basic,What are the cardiovascular benefits of SGLT2 inhibitors?,No relevant documents found to answer the query.,[],"SGLT2 inhibitors provide cardiovascular benefits by reducing major adverse cardiovascular events and hospitalization for heart failure, effects that appear to be independent of their glucose-lowering action.",0.045713186264038086,0,True,,,,,,,,0.0,48,0
basic,How do statins prevent cardiovascular disease?,No relevant documents found to answer the query.,[],"Statins prevent cardiovascular disease by inhibiting HMG-CoA reductase to lower LDL cholesterol, reducing atherosclerotic plaque formation, and through pleiotropic effects such as anti-inflammatory and plaque-stabilizing properties.",0.0494389533996582,0,True,,,,,,,,0.0,48,0
basic,What is the role of ACE inhibitors in heart failure?,No relevant documents found to answer the query.,[],"ACE inhibitors treat heart failure by blocking the conversion of angiotensin I to angiotensin II, which reduces vasoconstriction and aldosterone production, decreases afterload and preload, improves cardiac output, and ultimately reduces mortality and hospitalizations in patients with heart failure with reduced ejection fraction.",0.014596939086914062,0,True,,,,,,,,0.0,48,0
basic,How do glucocorticoids suppress inflammation?,No relevant documents found to answer the query.,[],"Glucocorticoids suppress inflammation by binding to cytoplasmic glucocorticoid receptors that translocate to the nucleus, where they suppress pro-inflammatory gene transcription and induce anti-inflammatory protein expression.",0.012019872665405273,0,True,,,,,,,,0.0,48,0
basic,What are the mechanisms of antibiotic resistance?,No relevant documents found to answer the query.,[],"Bacteria develop antibiotic resistance through target gene mutations, horizontal gene transfer of resistance genes via plasmids or transposons, and expression of efflux pumps that remove antibiotics from the cell.",0.05011272430419922,0,True,,,,,,,,0.0,48,0
basic,How do biologics treat rheumatoid arthritis?,No relevant documents found to answer the query.,[],"Biologics treat rheumatoid arthritis by targeting specific components of the immune system, such as blocking TNF or IL-6 signaling, or depleting B cells to reduce autoantibody production, thereby interrupting the inflammatory cascade that causes joint damage.",0.014612913131713867,0,True,,,,,,,,0.0,48,0
basic,What is the mechanism of action of levodopa in Parkinson's disease?,No relevant documents found to answer the query.,[],"Levodopa treats Parkinson's disease by crossing the blood-brain barrier and being converted to dopamine in the brain, helping to replenish depleted dopamine levels in the striatum and compensate for the loss of dopaminergic neurons in the substantia nigra.",0.010629892349243164,0,True,,,,,,,,0.0,48,0
basic,What are the effects of metformin on type 2 diabetes?,No relevant documents found to answer the query.,[],Metformin helps treat type 2 diabetes by reducing glucose production in the liver and increasing insulin sensitivity in peripheral tissues.,0.01253199577331543,0,True,,,,,,,,0.0,48,1
basic,How does SGLT2 inhibition affect kidney function?,No relevant documents found to answer the query.,[],"SGLT2 inhibitors protect kidney function by reducing hyperfiltration, decreasing albuminuria, and providing nephroprotection through mechanisms independent of glycemic control.",0.01233816146850586,0,True,,,,,,,,0.0,48,1
basic,What is the mechanism of action of GLP-1 receptor agonists?,No relevant documents found to answer the query.,[],"GLP-1 receptor agonists work by stimulating insulin secretion, suppressing glucagon secretion, slowing gastric emptying, and promoting satiety, ultimately improving glycemic control and often leading to weight loss.",0.010846853256225586,0,True,,,,,,,,0.0,48,1
basic,What are the cardiovascular benefits of SGLT2 inhibitors?,No relevant documents found to answer the query.,[],"SGLT2 inhibitors provide cardiovascular benefits by reducing major adverse cardiovascular events and hospitalization for heart failure, effects that appear to be independent of their glucose-lowering action.",0.012731075286865234,0,True,,,,,,,,0.0,48,1
basic,How do statins prevent cardiovascular disease?,No relevant documents found to answer the query.,[],"Statins prevent cardiovascular disease by inhibiting HMG-CoA reductase to lower LDL cholesterol, reducing atherosclerotic plaque formation, and through pleiotropic effects such as anti-inflammatory and plaque-stabilizing properties.",0.013143777847290039,0,True,,,,,,,,0.0,48,1
basic,What is the role of ACE inhibitors in heart failure?,No relevant documents found to answer the query.,[],"ACE inhibitors treat heart failure by blocking the conversion of angiotensin I to angiotensin II, which reduces vasoconstriction and aldosterone production, decreases afterload and preload, improves cardiac output, and ultimately reduces mortality and hospitalizations in patients with heart failure with reduced ejection fraction.",0.01108098030090332,0,True,,,,,,,,0.0,48,1
basic,How do glucocorticoids suppress inflammation?,No relevant documents found to answer the query.,[],"Glucocorticoids suppress inflammation by binding to cytoplasmic glucocorticoid receptors that translocate to the nucleus, where they suppress pro-inflammatory gene transcription and induce anti-inflammatory protein expression.",0.011843204498291016,0,True,,,,,,,,0.0,48,1
basic,What are the mechanisms of antibiotic resistance?,No relevant documents found to answer the query.,[],"Bacteria develop antibiotic resistance through target gene mutations, horizontal gene transfer of resistance genes via plasmids or transposons, and expression of efflux pumps that remove antibiotics from the cell.",0.012418031692504883,0,True,,,,,,,,0.0,48,1
basic,How do biologics treat rheumatoid arthritis?,No relevant documents found to answer the query.,[],"Biologics treat rheumatoid arthritis by targeting specific components of the immune system, such as blocking TNF or IL-6 signaling, or depleting B cells to reduce autoantibody production, thereby interrupting the inflammatory cascade that causes joint damage.",0.01178121566772461,0,True,,,,,,,,0.0,48,1
basic,What is the mechanism of action of levodopa in Parkinson's disease?,No relevant documents found to answer the query.,[],"Levodopa treats Parkinson's disease by crossing the blood-brain barrier and being converted to dopamine in the brain, helping to replenish depleted dopamine levels in the striatum and compensate for the loss of dopaminergic neurons in the substantia nigra.",0.011093854904174805,0,True,,,,,,,,0.0,48,1
basic,What are the effects of metformin on type 2 diabetes?,No relevant documents found to answer the query.,[],Metformin helps treat type 2 diabetes by reducing glucose production in the liver and increasing insulin sensitivity in peripheral tissues.,0.01120901107788086,0,True,,,,,,,,0.0,48,2
basic,How does SGLT2 inhibition affect kidney function?,No relevant documents found to answer the query.,[],"SGLT2 inhibitors protect kidney function by reducing hyperfiltration, decreasing albuminuria, and providing nephroprotection through mechanisms independent of glycemic control.",0.011378765106201172,0,True,,,,,,,,0.0,48,2
basic,What is the mechanism of action of GLP-1 receptor agonists?,No relevant documents found to answer the query.,[],"GLP-1 receptor agonists work by stimulating insulin secretion, suppressing glucagon secretion, slowing gastric emptying, and promoting satiety, ultimately improving glycemic control and often leading to weight loss.",0.010709047317504883,0,True,,,,,,,,0.0,48,2
basic,What are the cardiovascular benefits of SGLT2 inhibitors?,No relevant documents found to answer the query.,[],"SGLT2 inhibitors provide cardiovascular benefits by reducing major adverse cardiovascular events and hospitalization for heart failure, effects that appear to be independent of their glucose-lowering action.",0.010715961456298828,0,True,,,,,,,,0.0,48,2
basic,How do statins prevent cardiovascular disease?,No relevant documents found to answer the query.,[],"Statins prevent cardiovascular disease by inhibiting HMG-CoA reductase to lower LDL cholesterol, reducing atherosclerotic plaque formation, and through pleiotropic effects such as anti-inflammatory and plaque-stabilizing properties.",0.010661125183105469,0,True,,,,,,,,0.0,48,2
basic,What is the role of ACE inhibitors in heart failure?,No relevant documents found to answer the query.,[],"ACE inhibitors treat heart failure by blocking the conversion of angiotensin I to angiotensin II, which reduces vasoconstriction and aldosterone production, decreases afterload and preload, improves cardiac output, and ultimately reduces mortality and hospitalizations in patients with heart failure with reduced ejection fraction.",0.010688066482543945,0,True,,,,,,,,0.0,48,2
basic,How do glucocorticoids suppress inflammation?,No relevant documents found to answer the query.,[],"Glucocorticoids suppress inflammation by binding to cytoplasmic glucocorticoid receptors that translocate to the nucleus, where they suppress pro-inflammatory gene transcription and induce anti-inflammatory protein expression.",0.010848045349121094,0,True,,,,,,,,0.0,48,2
basic,What are the mechanisms of antibiotic resistance?,No relevant documents found to answer the query.,[],"Bacteria develop antibiotic resistance through target gene mutations, horizontal gene transfer of resistance genes via plasmids or transposons, and expression of efflux pumps that remove antibiotics from the cell.",0.010262012481689453,0,True,,,,,,,,0.0,48,2
